Naif_id,Body,IAU2000_Mean,IAU2000_Semimajor,IAU2000_Axisb,IAU2000_Semiminor
199,Mercury,2439700.00,2439700.00,2439700.00,2439700.00
299,Venus,6051800.00,6051800.00,6051800.00,6051800.00
399,Earth,6371000.00,6378140.00,6378140.00,6356750.00
301,Moon,1737400.00,1737400.00,1737400.00,1737400.00
499,Mars,3389500.00,3396190.00,3396190.00,3376200.00
401,Phobos,11100.00,13400.00,11200.00,9200.00
402,Deimos,6200.00,7500.00,6100.00,5200.00
599,Jupiter,69911000.00,71492000.00,71492000.00,66854000.00
501,Io,1821460.00,1829400.00,1819300.00,1815700.00
502,Europa,1562090.00,1594130.00,1561230.00,1560930.00
503,Ganymede,2632345.00,2632400.00,2632290.00,2632350.00
504,Callisto,2409300.00,2409400.00,2409200.00,2409300.00
505,Amalthea,83500.00,125000.00,73000.00,64000.00
506,Himalia,85000.00,85000.00,85000.00,85000.00
507,Elara,40000.00,40000.00,40000.00,40000.00
508,Pasiphae,18000.00,18000.00,18000.00,18000.00
509,Sinope,14000.00,14000.00,14000.00,14000.00
510,Lysithea,12000.00,12000.00,12000.00,12000.00
511,Carme,15000.00,15000.00,15000.00,15000.00
512,Ananke,10000.00,10000.00,10000.00,10000.00
513,Leda,5000.00,5000.00,5000.00,5000.00
514,Thebe,49300.00,58000.00,49000.00,42000.00
515,Adrastea,8200.00,10000.00,8000.00,7000.00
516,Metis,21500.00,30000.00,20000.00,17000.00
517,Callirrhoe,-1,-1,-1,-1
518,Themisto,-1,-1,-1,-1
519,Magaclite,-1,-1,-1,-1
520,Taygete,-1,-1,-1,-1
521,Chaldene,-1,-1,-1,-1
522,Harpalyke,-1,-1,-1,-1
523,Kalyke,-1,-1,-1,-1
524,Iocaste,-1,-1,-1,-1
525,Erinome,-1,-1,-1,-1
526,Isonoe,-1,-1,-1,-1
527,Praxidike,-1,-1,-1,-1
528,Autonoe,-1,-1,-1,-1
529,Thyone,-1,-1,-1,-1
530,Hermippe,-1,-1,-1,-1
531,Aitne,-1,-1,-1,-1
532,Eurydome,-1,-1,-1,-1
533,Euanthe,-1,-1,-1,-1
534,Euporie,-1,-1,-1,-1
535,Orthosie,-1,-1,-1,-1
536,Sponde,-1,-1,-1,-1
537,Kale,-1,-1,-1,-1
538,Pasithee,-1,-1,-1,-1
539,Hegemone,-1,-1,-1,-1
540,Mneme,-1,-1,-1,-1
541,Aoede,-1,-1,-1,-1
542,Thelxinoe,-1,-1,-1,-1
543,Arche,-1,-1,-1,-1
544,Kallichore,-1,-1,-1,-1
545,Helike,-1,-1,-1,-1
546,Carpo,-1,-1,-1,-1
547,Eukelade,-1,-1,-1,-1
548,Cyllene,-1,-1,-1,-1
549,Kore,-1,-1,-1,-1
550,Herse,-1,-1,-1,-1
699,Saturn,58232000.00,60268000.00,60268000.00,54364000.00
601,Mimas,198600.00,209100.00,196200.00,191400.00
602,Enceladus,249400.00,256300.00,247300.00,244600.00
603,Tethys,529800.00,535600.00,528200.00,525800.00
604,Dione,560000.00,560000.00,560000.00,560000.00
605,Rhea,764000.00,764000.00,764000.00,764000.00
606,Titan,2575000.00,2575000.00,2575000.00,2575000.00
607,Hyperion,133000.00,164000.00,130000.00,107000.00
608,Iapetus,718000.00,718000.00,718000.00,718000.00
609,Phoebe,110000.00,115000.00,110000.00,105000.00
610,Janus,88800.00,97000.00,95000.00,77000.00
611,Epimetheus,59500.00,69000.00,55000.00,55000.00
612,Helene,16000.00,175000.00,17500.00,700.00
613,Telesto,11000.00,15000.00,12500.00,7500.00
614,Calypso,9500.00,15000.00,8000.00,8000.00
615,Atlas,16000.00,18500.00,17200.00,13500.00
616,Prometheus,50100.00,74000.00,50000.00,34000.00
617,Pandora,41900.00,55000.00,44000.00,31000.00
618,Pan,10000.00,10000.00,10000.00,10000.00
619,Ymir,-1,-1,-1,-1
620,Paaliaq,-1,-1,-1,-1
621,Tarvos,-1,-1,-1,-1
622,Ijiraq,-1,-1,-1,-1
623,Suttungr,-1,-1,-1,-1
624,Kiviuq,-1,-1,-1,-1
625,Mundilfari,-1,-1,-1,-1
626,Albiorix,-1,-1,-1,-1
627,Skathi,-1,-1,-1,-1
628,Erriapo,-1,-1,-1,-1
629,Siarnaq,-1,-1,-1,-1
630,Thrymr,-1,-1,-1,-1
631,Narvi,-1,-1,-1,-1
632,Methone,1600.00,1600.00,1600.00,1600.00
633,Pallene,2500.00,2500.00,2500.00,2500.00
634,Polydeuces,1300.00,1300.00,1300.00,1300.00
635,Daphnis,-1,-1,-1,-1
636,Aegir,-1,-1,-1,-1
637,Bebhionn,-1,-1,-1,-1
638,Bergelmir,-1,-1,-1,-1
639,Bestla,-1,-1,-1,-1
640,Farbauti,-1,-1,-1,-1
641,Fenrir,-1,-1,-1,-1
642,Fornjot,-1,-1,-1,-1
643,Hati,-1,-1,-1,-1
644,Hyrrokkin,-1,-1,-1,-1
645,Kari,-1,-1,-1,-1
646,Loge,-1,-1,-1,-1
647,Skoll,-1,-1,-1,-1
648,Sutur,-1,-1,-1,-1
649,Anthe,-1,-1,-1,-1
650,Jarnsaxa,-1,-1,-1,-1
651,Greip,-1,-1,-1,-1
652,Tarqeq,-1,-1,-1,-1
653,Aegaeon,-1,-1,-1,-1
799,Uranus,25362000.00,25559000.00,25559000.00,24973000.00
701,Ariel,578900.00,581100.00,577900.00,577700.00
702,Umbriel,584700.00,584700.00,584700.00,584700.00
703,Titania,788900.00,788900.00,788900.00,788900.00
704,Oberon,761400.00,761400.00,761400.00,761400.00
705,Miranda,235800.00,240400.00,234200.00,232900.00
706,Cordelia,13000.00,13000.00,13000.00,13000.00
707,Ophelia,15000.00,15000.00,15000.00,15000.00
708,Bianca,21000.00,21000.00,21000.00,21000.00
709,Cressida,31000.00,31000.00,31000.00,31000.00
710,Desdemona,27000.00,27000.00,27000.00,27000.00
711,Juliet,42000.00,42000.00,42000.00,42000.00
712,Portia,54000.00,54000.00,54000.00,54000.00
713,Rosalind,27000.00,27000.00,27000.00,27000.00
714,Belinda,33000.00,33000.00,33000.00,33000.00
715,Puck,77000.00,77000.00,77000.00,77000.00
716,Caliban,-1,-1,-1,-1
717,Sycorax,-1,-1,-1,-1
718,Prospero,-1,-1,-1,-1
719,Setebos,-1,-1,-1,-1
720,Stephano,-1,-1,-1,-1
721,Trinculo,-1,-1,-1,-1
722,Francisco,-1,-1,-1,-1
723,Margaret,-1,-1,-1,-1
724,Ferdinand,-1,-1,-1,-1
725,Perdita,-1,-1,-1,-1
726,Mab,-1,-1,-1,-1
727,Cupid,-1,-1,-1,-1
899,Neptune,24622000.00,24764000.00,24764000.00,24341000.00
801,Triton,1352600.00,1352600.00,1352600.00,1352600.00
802,Nereid,170000.00,170000.00,170000.00,170000.00
803,Naiad,29000.00,29000.00,29000.00,29000.00
804,Thalassa,40000.00,40000.00,40000.00,40000.00
805,Despina,74000.00,74000.00,74000.00,74000.00
806,Galatea,79000.00,79000.00,79000.00,79000.00
807,Larissa,96000.00,96000.00,96000.00,89000.00
808,Proteus,208000.00,218000.00,208000.00,201000.00
809,Halimede,-1,-1,-1,-1
810,Psamathe,-1,-1,-1,-1
811,Sao,-1,-1,-1,-1
812,Laomedeia,-1,-1,-1,-1
813,Neso,-1,-1,-1,-1
999,Pluto,1195000.00,1195000.00,1195000.00,1195000.00
901,Charon,593000.00,593000.00,593000.00,593000.00
1000005,Borrelly,-1,-1,-1,-1
1000036,Halley,-1,-1,-1,-1
1000093,Tempel 1,-1,-1,-1,-1
1000107,Wild 2,-1,-1,-1,-1
9511010,Gaspra,6100.00,9100.00,5200.00,4400.00
2431010,Ida,15650.00,26800.00,12000.00,7600.00
2431011,Dactyl,-1,-1,-1,-1
2000001,Ceres,476200.00,487300.00,487300.00,454700.00
2000002,Pallas,-1,-1,-1,-1
2000004,Vesta,-1,-1,-1,-1
2000021,Lutetia,52500.00,62000.00,50500.00,46500.00
2000216,Kleopatra,-1,108500.00,47000.00,40500.00
2000433,Eros,7311.00,7311.00,7311.00,7311.00
2000511,Davida,-1,-1,-1,-1
2000253,Mathilde,-1,-1,-1,-1
2002867,Steins,-1,-1,-1,-1
2009969,1992KD,-1,-1,-1,-1
2009969,Braille,-1,-1,-1,-1
2004015,Wilson-Harrington,-1,-1,-1,-1
2004179,Toutatis,-1,-1,-1,-1
2025143,Itokawa,-1,-1,-1,-1
